FID,local_authority,uprn,address,url,opening_hours,facilities,sh_date_uploaded,sh_src,sh_src_id,la_s_code
pub_lib.21,Renfrewshire,123105457,"RENFREWSHIRE COUNCIL, BRIDGE OF WEIR LIBRARY, CARGILL HALL, LINTWHITE CRESCENT, BRIDGE OF WEIR, PA11 3LJ",https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?p=13961a65-033a-4fdd-b6b1-cd91360ede1d&v=*,,,2018-09-07,d4ee8f5d-618f-42e0-aeff-e6273f2dbc0d,5,S12000038
pub_lib.22,Highland,130109946,"HIGH LIFE HIGHLAND, INVERNESS PUBLIC LIBRARY, FARRALINE PARK, INVERNESS, IV1 1NH",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,31,S12000017
pub_lib.23,Moray,133071767,"FORRES LIBRARY, FORRES HOUSE, HIGH STREET, FORRES, IV36 1BU",http://www.moray.gov.uk/moray_standard/page_39966.html,,,2025-02-03,f4ed5187-39e7-4d8a-9d9e-d2503146ab2e,7,S12000020
pub_lib.397,Aberdeen City,,"AIRYHALL LIBRARY, SPRINGFIELD ROAD, AB15 7RF",,,,2025-02-03,057a18af-b371-4bba-82f6-7ffb322eb390,6,S12000033
pub_lib.24,Perth and Kinross,124102817,"PUBLIC LIBRARY, COUPAR ANGUS TOWN HALL, UNION STREET, COUPAR ANGUS, PH13 9AE",,,,2025-02-03,edcb4e39-7123-42f2-a9ff-4b1038dd3122,15,S12000048
pub_lib.25,Dundee City,,"THE HUB, 171 PITKERRO ROAD, DUNDEE, DD4 8ES",/hub-community-library-and-learning-centre,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,11,S12000042
pub_lib.26,City of Edinburgh,,"BLACKHALL LIBRARY, 56 HILLHOUSE ROAD, EH4 5EG",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Disabled access, Library Link, Toilets fo disabled users, Wheelchairs, Induction LOOP, GET ONLINE Computer/ Tablet & Phone classes.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,3,S12000036
pub_lib.27,Fife,320314235,"SINCLAIRTOWN MUSEUM STORE, SINCLAIRTOWN LIBRARY, LOUGHBOROUGH ROAD, KIRKCALDY, KY1 3DB",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,36,S12000047
pub_lib.28,South Lanarkshire,,RUTHERGLEN LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,22,S12000029
pub_lib.29,East Ayrshire,127070123,"AUCHINLECK LIBRARY, AUCHINLECK AREA CENTRE, 28, WELL ROAD, AUCHINLECK, KA18 2LA",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,2,S12000008
pub_lib.30,South Lanarkshire,,HILLHOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,12,S12000029
pub_lib.31,East Ayrshire,127030240,"4, CASTLE STREET, MAUCHLINE, KA5 5BZ",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,10,S12000008
pub_lib.32,Glasgow City,906700264560,"CIVIC REALM, 27, COWGLEN ROAD, GLASGOW, G53 6EW",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,27,S12000049
pub_lib.33,East Ayrshire,127034007,"EAST AYRSHIRE COUNCIL, GALSTON COMMUNITY LIBRARY AND LOCAL OFFICE, 24, HENRIETTA STREET, GALSTON, KA4 8HQ",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,6,S12000008
pub_lib.34,Glasgow City,906700409672,"THE BRIDGE, 1000, WESTERHOUSE ROAD, GLASGOW, G34 9JW",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,11,S12000049
pub_lib.35,Aberdeenshire,151651295,"ABERDEENSHIRE COUNCIL, KINTORE LIBRARY, CASTLE WALK, KINTORE, AB51 0RU",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/kintore-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,20,S12000034
pub_lib.36,Fife,320179920,"CARDENDEN LIBRARY, CARDEN AVENUE, CARDENDEN, KY5 0EL",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,21,S12000047
pub_lib.37,City of Edinburgh,,"MUIRHOUSE LIBRARY, 15 PENNYWELL COURT, EH4 4TZ",,Mon - Wed 10am - 8pm. Thurs & Fri 10am - 5pm. Sat 10am - 5pm,"Library Link, Toilets fo disabled users, Induction LOOP, Housebound rounds.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,18,S12000036
pub_lib.38,City of Edinburgh,,"GILMERTON LIBRARY, 13 NEWTOFT STREET, EH17 8RG",,Mon & Wed 1-8pm. Tues & Fri 10am-5pm. Sat 10am-2pm,"Disabled access, Induction LOOP, Library Link, Toilets for disabled users.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,11,S12000036
pub_lib.39,Glasgow City,906700231366,"SHETTLESTON LIBRARY AND LEARNING CENTRE, 154, WELLSHOT ROAD, GLASGOW, G32 7AX",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,21,S12000049
pub_lib.40,South Lanarkshire,,LARKHALL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,4,S12000029
pub_lib.41,Aberdeenshire,151086009,"ABERDEENSHIRE COUNCIL, CRUDEN BAY LIBRARY, STATION ROAD, CRUDEN BAY, AB42 0NL",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/cruden-bay-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,11,S12000034
pub_lib.42,Scottish Borders,,"HAWICK LIBRARY, NORTH BRIDGE STREET HAWICK TD9 9QT",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/hawick_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,6,S12000026
pub_lib.43,City of Edinburgh,,"DRUMBRAE LIBRARY HUB, 81 DRUM BRAE DRIVE, EH4 7FE",,Mon & Wed 8.30am-8pm. Tue 10am-8pm. Thurs & Fri 8.30am-5pm. Sat 10am-5pm,"Day Care centre, Full disabled access and lifts, Library Link group on Tuesday mornings.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,9,S12000036
pub_lib.44,North Lanarkshire,118190303,"CHRYSTON LIBRARY, CHRYSTON CULTURAL CENTRE, LINDSAYBEG ROAD, CHRYSTON, G69 9DW",https://culturenl.co.uk/libraries/your-library/chryston-library/,,,2025-02-03,90de9621-d8c3-4565-92da-efa06d7de6c5,15,S12000050
pub_lib.45,Highland,130169343,"INSHES LIBRARY, INSHES PRIMARY SCHOOL, INSHES ROAD, INVERNESS, IV2 3RF",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,28,S12000017
pub_lib.46,North Lanarkshire,118192088,"NEWMAINS LIBRARY, 11, MANSE ROAD, NEWMAINS, ML2 9AX",https://culturenl.co.uk/libraries/your-library/newmains-library/,,,2025-02-03,90de9621-d8c3-4565-92da-efa06d7de6c5,17,S12000050
pub_lib.47,East Dunbartonshire,,"BISHOPBRIGGS LIBRARY, (TEMPORARY RE-LOCATION FROM 12 JUNE 2017), BISHOPBRIGGS, G64 3BS",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,1,S12000045
pub_lib.48,Aberdeenshire,151089525,"ABERDEENSHIRE COUNCIL, NEW PITSLIGO LIBRARY, 79, HIGH STREET, NEW PITSLIGO, AB43 6NH",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/new-pitsligo-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,24,S12000034
pub_lib.49,Stirling,122008241,"LIBRARY, 71, BUCHANAN STREET, BALFRON, G63 0TW",,,,2025-02-03,2e6c38e3-1546-40ab-9cf6-f210d5ff1003,7,S12000030
pub_lib.50,Highland,130111802,"HIGH LIFE HIGHLAND, BRORA LIBRARY AND CULTURAL CENTRE, GOWER STREET, BRORA, KW9 6PD",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,11,S12000017
pub_lib.51,South Lanarkshire,,STONEHOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,3,S12000029
pub_lib.52,Perth and Kinross,124066782,"INNERPEFFRAY LIBRARY, B8062 FROM BROICH ROAD TO THE C457 AT KINKELL COTTAGE, CRIEFF, PH7 3RF",,,,2025-02-03,edcb4e39-7123-42f2-a9ff-4b1038dd3122,8,S12000048
pub_lib.53,Fife,320179247,"METHIL LIBRARY, WELLESLEY ROAD, METHIL, KY8 3PA",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,32,S12000047
pub_lib.54,Glasgow City,906700325006,"DENNISTOUN LIBRARY AND LEARNING CENTRE, 2A, CRAIGPARK, GLASGOW, G31 2NA",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,29,S12000049
pub_lib.55,East Ayrshire,127047491,"EAST AYRSHIRE COUNCIL, DICK INSTITUTE, 1, ELMBANK AVENUE, KILMARNOCK, KA1 3BU",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,1,S12000008
pub_lib.56,West Dunbartonshire,129007896,"CLYDEBANK LIBRARY, 57, DUMBARTON ROAD, CLYDEBANK, G81 1XH",,,,2019-04-12,3011ba66-8dd6-4c97-93b5-649138a12fca,3,S12000039
pub_lib.57,Argyll and Bute,,"AQUALIBRIUM (CAMPBELTOWN LIBRARY), AQUALIBRIUM, KINLOCH PARK, KINLOCH ROAD, CAMPBELTOWN, PA28 6EG",http://www.liveargyll.co.uk/library/campbeltown-library,,"Regular events and classes, Bookbug, Computers, Local Studies",2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,9,S12000035
pub_lib.58,Highland,130125304,"HIGH LIFE HIGHLAND, TAIN LIBRARY, STAFFORD STREET, TAIN, IV19 1AZ",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,45,S12000017
pub_lib.59,Dumfries and Galloway,137022113,"DG CUSTOMER SERVICES - GRETNA, CENTRAL AVENUE, GRETNA, DG16 5AQ",https://www.dumgal.gov.uk/article/15402/DG-Customer-Services-Gretna,,,2019-04-08,5b5e0bc5-c7f4-490f-a638-d444fcf75044,2,S12000006
pub_lib.60,Aberdeenshire,151703562,"ABERDEENSHIRE COUNCIL, WESTHILL LIBRARY, WESTHILL DRIVE, WESTHILL, AB32 6FY",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/westhill-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,34,S12000034
pub_lib.61,North Ayrshire,126057462,"GARRISON HOUSE, THE GARRISON, MILLPORT, KA28 0DE",https://www.north-ayrshire.gov.uk/libraries/libraries.aspx,"Mon 1-5pm Tues 1-7.30pm; Wed/Thurs CLOSED, Fri 10-1pm, 2-5pm , Sat 10 - 12 pm (library service only)","Wifi, Books, CDs, DVDs and talking books. , Request any of the above using the online library catalogue at home using your library card number., Adult Book Group meets one Tuesday and one Thursday each month at 6.30pm., Author/storytelling visits, craft activities and community events for adults and children., Free computer and Internet access., Computer Buddy Scheme., Online reference resources e.g. Britannica and Scran from home using your library card number (P0000....), Free access to Grid Club website. , Other Facilities: study area and photocopying., Please contact library staff for more information on any of the above.",2025-02-03,5d8a7986-b7b8-43a1-8f23-7030bc4f430d,3,S12000021
pub_lib.62,Argyll and Bute,,"OBAN LIBRARY, 77 ALBANY STREET, OBAN, PA34 4AW",http://www.liveargyll.co.uk/library/oban-library,,"Computers, Regular classes and events, Bookbug",2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,14,S12000035
pub_lib.63,South Lanarkshire,,FAIRHILL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,2,S12000029
pub_lib.64,Fife,320175341,"LADYBANK LIBRARY, 23, COMMERCIAL ROAD, LADYBANK, KY15 7JS",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,3,S12000047
pub_lib.65,Highland,130081534,"HOWARD DORIS CENTRE, MILLBRAE, LOCHCARRON, IV54 8YQ",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,37,S12000017
pub_lib.66,South Ayrshire,141054102,"MOSSBLOWN BRANCH LIBRARY, 3, ANNBANK ROAD, MOSSBLOWN, KA6 5BH",,"Closed, 10:00 - 13:00 & 14:00 - 16:30, 14:00 - 17:00, Closed, Closed, 14:30 - 19:00, 14:00 - 17:00",,2019-04-12,4828d846-4688-45b0-a07a-8eb3ff3a3f91,6,S12000028
pub_lib.67,Fife,320177646,"LUNDIN LINKS LIBRARY, 7 LUNDIN SQUARE, CRESCENT ROAD, LUNDIN LINKS, KY8 6BH",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,35,S12000047
pub_lib.68,East Ayrshire,127070456,"WHATRIGGS PRIMARY SCHOOL AND EARLY CHILDHOOD CENTRE, WHATRIGGS ROAD, BELLFIELD, KILMARNOCK, KA1 3SZ",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,12,S12000008
pub_lib.69,Glasgow City,906700303986,"POLLOKSHAWS LIBRARY AND LEARNING CENTRE, 60, SHAWBRIDGE STREET, GLASGOW, G43 1RW",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,2,S12000049
pub_lib.70,Fife,320181672,"TEMPLEHALL LIBRARY, BEAULY PLACE, KIRKCALDY, KY2 6EX",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,1,S12000047
pub_lib.71,Aberdeenshire,151086018,"ABERDEENSHIRE COUNCIL, KEMNAY LIBRARY, KENDAL ROAD, KEMNAY, AB51 5RN",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/kemnay-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,19,S12000034
pub_lib.72,South Ayrshire,141010708,"ALLOWAY BRANCH LIBRARY, DOONHOLM ROAD, AYR, KA7 4QQ",,"09:00 - 13:00 & 14:00 - 17:00, 10:00 - 13:00 & 14:00 - 17:00, 13:00 - 19:00, Closed, Closed, 13:00 - 17:00, 09:00 - 13:00 & 14:00 - 17:00",,2019-04-12,4828d846-4688-45b0-a07a-8eb3ff3a3f91,4,S12000028
pub_lib.73,Highland,130103455,"LIBRARY SUPPORT UNIT, 31A, HARBOUR ROAD, INVERNESS, IV1 1UA",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,36,S12000017
pub_lib.74,Perth and Kinross,124035696,"SCONE LIBRARY, SANDY ROAD, SCONE, PH2 6LH",,,,2025-02-03,edcb4e39-7123-42f2-a9ff-4b1038dd3122,6,S12000048
pub_lib.75,East Renfrewshire,131014517,"GIFFNOCK LIBRARY, 7, STATION ROAD, GIFFNOCK, G46 6JF",,,,2018-06-26,6b18385b-d642-4d16-9e1f-4e9c6f7e3767,6,S12000011
pub_lib.76,Fife,320177308,"CUPAR LIBRARY, 33, CROSSGATE, CUPAR, KY15 5AS",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,42,S12000047
pub_lib.77,Midlothian,120036246,"MIDLOTHIAN COUNCIL, GOREBRIDGE LIBRARY, 90, HUNTERFIELD ROAD, GOREBRIDGE, EH23 4TT",,,,2018-03-22,db0f9caf-b056-44a6-888a-f08bb22a47e5,10,S12000019
pub_lib.78,Aberdeen City,,"KINCORTH LIBRARY, PROVOST WATT DRIVE, AB12 5NA",,,,2025-02-03,057a18af-b371-4bba-82f6-7ffb322eb390,11,S12000033
pub_lib.79,Highland,130107153,"THE HIGHLAND COUNCIL, SERVICE POINT AND LIBRARY, COUNCIL YARD ACCESS ROAD, BROADFORD, IV49 9AB",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,10,S12000017
pub_lib.80,Aberdeen City,,"COVE LIBRARY, LOIRSTON AVENUE, AB12 3HE",,,,2025-02-03,057a18af-b371-4bba-82f6-7ffb322eb390,4,S12000033
pub_lib.81,Falkirk,,"LIBRARY SUPPORT, VICTORAI BUILDINGS, FALKIRK, FK2 7AF",,,,2025-02-03,ea017944-4acf-44f4-b405-cbf11fc018cb,9,S12000014
pub_lib.82,Moray,133071766,"BURGHEAD LIBRARY, BURGHEAD PRIMARY SCHOOL, GRANT STREET, BURGHEAD, IV30 5UQ",http://www.moray.gov.uk/moray_standard/page_39961.html,,,2025-02-03,f4ed5187-39e7-4d8a-9d9e-d2503146ab2e,3,S12000020
pub_lib.83,Aberdeenshire,151086437,"ABERDEENSHIRE COUNCIL, FETTERCAIRN SCHOOL, SCHOOL ROAD, FETTERCAIRN, AB30 1TH",https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries/fettercairn-library/,,,2022-04-05,33688c90-098d-4c60-8d82-c8652060aefe,13,S12000034
pub_lib.84,Fife,320284364,"DULOCH LIBRARY, DULOCH SCHOOLS AND COMMUNITY CAMPUS, NIGHTINGALE PLACE, DUNFERMLINE, KY11 8LW",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,10,S12000047
pub_lib.85,Orkney Islands,134017823,"WAREHOUSE BUILDINGS, 2-12, VICTORIA STREET, STROMNESS, KW16 3AA",,,,2017-11-30,29daa87b-2900-4cd4-b238-8e7b025ecf46,2,S12000023
pub_lib.86,Moray,133055672,"ELGIN LIBRARY, COOPER PARK CAR PARK, ELGIN, IV30 1HS",http://www.moray.gov.uk/moray_standard/page_1435.html,,,2025-02-03,f4ed5187-39e7-4d8a-9d9e-d2503146ab2e,6,S12000020
pub_lib.87,Glasgow City,906700181300,"SPRINGBURN LEISURE AND LEARNING CENTRE, 2, KAY STREET, GLASGOW, G21 1JY",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,15,S12000049
pub_lib.88,Dumfries and Galloway,137008232,"DG CUSTOMER SERVICES - STRANRAER, 2-10, NORTH STRAND STREET, STRANRAER, DG9 7LD",https://www.dumgal.gov.uk/article/15586/DG-Customer-Services-Stranraer,,,2019-04-08,5b5e0bc5-c7f4-490f-a638-d444fcf75044,24,S12000006
pub_lib.89,Na h-Eileanan an Iar,139022830,"LIBRARY, LIONACLEIT SCHOOL, LINICLATE, CREAGORRY, HS7 5PJ",https://www.cne-siar.gov.uk/leisure-sport-and-culture/libraries-and-archives/leabharlannan-nan-eilean-siar/,"Tue, Wed, Thu, Sat 10am to 1:00pm / 2:00pm to 5pm Fri 10am to 1:00pm / 2:00pm to 7pm",,2019-04-02,5436619d-3c7e-487a-9b46-dafb69eb0f9f,3,S12000013
pub_lib.90,East Dunbartonshire,,"MILNGAVIE LIBRARY, ALLANDER ROAD, MILNGAVIE, G62 8PN",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,7,S12000045
pub_lib.91,East Renfrewshire,131026617,"MEARNS COMMUNITY LIBRARY, 35, MACKINLEY PLACE, NEWTON MEARNS, G77 6EZ",,,,2018-06-26,6b18385b-d642-4d16-9e1f-4e9c6f7e3767,2,S12000011
pub_lib.92,Renfrewshire,123091336,"RENFREWSHIRE COUNCIL, FOXBAR LIBRARY, IVANHOE ROAD, PAISLEY, PA2 0JZ",https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?p=13961a65-033a-4fdd-b6b1-cd91360ede1d&v=*,,,2018-09-07,d4ee8f5d-618f-42e0-aeff-e6273f2dbc0d,2,S12000038
pub_lib.93,Dumfries and Galloway,137045861,"DG CUSTOMER SERVICES - GATEHOUSE LIBRARY, 63, HIGH STREET, GATEHOUSE OF FLEET, DG7 2HS",https://www.dumgal.gov.uk/article/15400/DG-Customer-Services-Gatehouse-Library,,,2019-04-08,5b5e0bc5-c7f4-490f-a638-d444fcf75044,19,S12000006
pub_lib.94,Fife,320179411,"THORNTON LIBRARY, 7-11, STRATHORE ROAD, STRATHORE, THORNTON, KY1 4DU",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,33,S12000047
pub_lib.95,Highland,130127572,"HIGHLAND COUNCIL SERVICE POINT AND LIBRARY, MAIN STREET, KYLE, IV40 8AB",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,34,S12000017
pub_lib.96,Midlothian,120037955,"RECORDS CENTRE, 80B, HIGH STREET, BONNYRIGG, EH19 2AE",,,,2018-03-22,db0f9caf-b056-44a6-888a-f08bb22a47e5,1,S12000019
pub_lib.97,Argyll and Bute,,"DUNOON LIBRARY, 248 ARGYLL STREET, DUNOON, PA23 7LT",http://www.liveargyll.co.uk/library/dunoon-library,,"Bookbug, Children's clubs",2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,11,S12000035
